Date,Open,High,Low,Close,Volume,Adj Close
2016-10-28,9307.389648,9320.570312,9276.709961,9306.919922,1372600,9306.91382
2016-10-27,9363.900391,9370.320312,9286.860352,9299.549805,1445200,9299.543707
2016-10-26,9355.660156,9372.740234,9338.839844,9362.25,1311100,9362.243862
2016-10-25,9338.089844,9399.969727,9334.799805,9385.650391,1429900,9385.644237
2016-10-24,9333.94043,9343.570312,9308.530273,9322.50,1257600,9322.493888
2016-10-21,9322.549805,9348.089844,9292.530273,9306.570312,1895600,9306.564211
2016-10-20,9288.490234,9331.889648,9279.150391,9317.240234,1631700,9317.234126
2016-10-19,9227.980469,9298.870117,9226.459961,9283.990234,1506800,9283.984147
2016-10-18,9175.070312,9222.580078,9157.400391,9222.580078,1276700,9222.574031
2016-10-17,9150.669922,9182.669922,9074.990234,9176.219727,1260400,9176.21371
2016-10-14,9198.259766,9216.629883,9149.870117,9165.169922,1479500,9165.163913
2016-10-13,9268.219727,9285.049805,9187.780273,9219.169922,1523400,9219.163877
2016-10-12,9201.549805,9258.69043,9166.580078,9252.599609,1385400,9252.593543
2016-10-11,9311.790039,9327.709961,9167.719727,9219.820312,2070400,9219.814268
2016-10-07,9289.660156,9289.950195,9249.05957,9265.80957,1501300,9265.803495
2016-10-06,9263.400391,9284.30957,9242.830078,9284.30957,1405800,9284.303483
2016-10-05,9260.69043,9276.129883,9244.410156,9272.280273,1339700,9272.274194
2016-10-04,9228.660156,9287.769531,9224.450195,9287.769531,1396600,9287.763442
2016-10-03,9219.519531,9256.580078,9212.379883,9234.200195,1379500,9234.194141
2016-09-30,9240.44043,9240.650391,9160.910156,9166.849609,1606100,9166.843599
2016-09-29,9241.610352,9303.129883,9238.490234,9270.900391,1843300,9270.894312
2016-09-26,9229.339844,9229.339844,9189.490234,9194.519531,1242800,9194.513503
2016-09-23,9240.25,9284.620117,9228.660156,9284.620117,1566400,9284.61403
2016-09-22,9265.280273,9290.759766,9207.410156,9235.259766,1489300,9235.253711
2016-09-21,9141.919922,9228.50,9133.160156,9228.50,1624800,9228.493949
2016-09-20,9141.209961,9173.459961,9130.900391,9161.580078,1425100,9161.574071
2016-09-19,9003.410156,9155.379883,9003.410156,9152.879883,1678200,9152.873882
2016-09-14,8913.110352,8965.320312,8895.849609,8902.299805,1755900,8902.293968
2016-09-13,8983.950195,9014.75,8885.549805,8940.830078,1797200,8940.824216
2016-09-12,9031.509766,9031.509766,8947.05957,8947.05957,1673200,8947.053704
2016-09-09,9217.370117,9217.370117,9142.129883,9164.879883,1587900,9164.873874
2016-09-08,9241.950195,9273.570312,9224.889648,9262.889648,1860000,9262.883575
2016-09-07,9202.230469,9278.879883,9202.230469,9259.070312,1969500,9259.064242
2016-09-06,9102.830078,9181.849609,9098.599609,9181.849609,1709300,9181.843589
2016-09-05,9032.379883,9100.049805,9032.379883,9090.129883,1467300,9090.123923
2016-09-02,9015.629883,9038.480469,8958.80957,8987.549805,1968000,8987.543912
2016-09-01,9055.730469,9069.129883,8980.209961,9001.150391,1891700,9001.144489
2016-08-31,9122.19043,9130.759766,9044.50,9068.849609,2149900,9068.843663
2016-08-30,9113.339844,9134.370117,9093.870117,9110.55957,1631700,9110.552511
2016-08-29,9117.530273,9136.419922,9027.349609,9110.169922,1604400,9110.162863
2016-08-26,9097.019531,9131.719727,9092.080078,9131.719727,1535600,9131.712651
2016-08-25,9034.469727,9115.469727,9031.339844,9115.469727,1843600,9115.462663
2016-08-24,9043.129883,9054.759766,9016.389648,9017.379883,1538600,9017.372896
2016-08-23,8987.070312,9046.299805,8986.759766,9030.929688,1606000,9030.92269
2016-08-22,9004.679688,9012.719727,8928.330078,8981.80957,1680100,8981.802611
2016-08-19,9139.69043,9175.129883,9034.269531,9034.269531,1966900,9034.262531
2016-08-18,9104.879883,9128.799805,9093.509766,9122.50,1779500,9122.492931
2016-08-17,9121.179688,9133.070312,9073.269531,9117.700195,1704800,9117.69313
2016-08-16,9146.089844,9165.580078,9082.339844,9110.360352,1762700,9110.353292
2016-08-15,9152.360352,9162.019531,9117.259766,9148.509766,1666600,9148.502677
2016-08-12,9135.339844,9173.719727,9135.339844,9150.389648,1924700,9150.382558
2016-08-11,9168.700195,9187.179688,9063.80957,9131.830078,2218600,9131.823002
2016-08-10,9160.94043,9200.419922,9131.629883,9200.419922,2158200,9200.412793
2016-08-09,9154.00,9168.339844,9127.629883,9155.080078,1911500,9155.072984
2016-08-08,9123.070312,9153.990234,9104.429688,9150.259766,1891100,9150.252675
2016-08-05,9025.759766,9101.709961,9023.230469,9092.120117,1959600,9092.113072
2016-08-04,9009.290039,9035.25,8972.30957,9024.709961,1640000,9024.702968
2016-08-03,9000.820312,9033.950195,8948.400391,9001.709961,1685800,9001.702986
2016-08-02,9081.05957,9086.419922,9052.709961,9068.759766,1733700,9068.752739
2016-08-01,9008.740234,9080.709961,9008.740234,9080.709961,1830200,9080.702925
2016-07-29,9066.370117,9071.509766,8984.410156,8984.410156,1899200,8984.403195
2016-07-28,9060.480469,9081.400391,9015.349609,9076.639648,2369500,9076.632615
2016-07-27,9058.19043,9084.900391,9042.139648,9063.389648,2133200,9063.382626
2016-07-26,8983.549805,9024.790039,8960.480469,9024.790039,1792500,9024.783046
2016-07-25,9030.360352,9085.910156,8916.049805,8991.669922,1980900,8991.662955
2016-07-22,9055.169922,9060.150391,9004.240234,9013.139648,2094400,9013.132665
2016-07-21,9010.219727,9075.889648,9009.790039,9056.55957,2658600,9056.552553
2016-07-20,9013.519531,9034.129883,8969.19043,9007.679688,2140900,9007.672708
2016-07-19,9018.799805,9034.870117,8972.830078,9034.870117,2370800,9034.863116
2016-07-18,8952.610352,9008.209961,8952.610352,9008.209961,2099900,9008.202981
2016-07-15,8857.150391,8949.849609,8857.150391,8949.849609,2268200,8949.842674
2016-07-14,8837.759766,8877.30957,8818.259766,8866.360352,2035000,8866.353481
2016-07-13,8847.040039,8865.419922,8800.169922,8857.75,2219500,8857.743136
2016-07-12,8794.730469,8841.459961,8794.299805,8841.459961,1993200,8841.45311
2016-07-11,8728.230469,8795.799805,8728.230469,8786.469727,2165600,8786.462918
2016-07-08,8605.379883,8653.700195,8605.379883,8640.910156,1591200,8640.903461
2016-07-07,8605.379883,8653.700195,8605.379883,8640.910156,1591200,8640.903461
2016-07-06,8673.530273,8673.530273,8569.150391,8575.75,1803000,8575.743355
2016-07-05,8738.410156,8747.05957,8693.759766,8716.070312,1539800,8716.063559
2016-07-04,8728.320312,8782.379883,8712.120117,8760.580078,1488300,8760.57329
2016-07-01,8692.480469,8755.620117,8680.530273,8738.240234,1877900,8738.233463
2016-06-30,8615.459961,8666.580078,8583.769531,8666.580078,2157300,8666.573363
2016-06-29,8530.370117,8609.230469,8530.370117,8586.55957,1952800,8586.552917
2016-06-28,8438.759766,8505.509766,8396.009766,8505.509766,1527200,8505.503175
2016-06-27,8406.290039,8468.660156,8386.269531,8458.870117,1349900,8458.863563
2016-06-24,8684.530273,8691.299805,8374.259766,8476.990234,2544000,8476.983666
2016-06-23,8706.080078,8711.209961,8662.780273,8676.679688,1277400,8676.672964
2016-06-22,8675.120117,8716.25,8653.040039,8716.25,1616300,8716.243246
2016-06-21,8633.209961,8684.849609,8627.400391,8684.849609,1522900,8684.84288
2016-06-20,8612.259766,8642.150391,8604.80957,8625.919922,1441600,8625.913238
2016-06-17,8538.280273,8607.160156,8538.280273,8568.080078,1676500,8568.073439
2016-06-16,8583.19043,8584.669922,8476.839844,8494.139648,1614200,8494.133067
2016-06-15,8566.429688,8608.290039,8524.549805,8606.370117,1631200,8606.363448
2016-06-14,8513.509766,8577.30957,8503.419922,8576.120117,1324500,8576.113472
2016-06-13,8634.240234,8634.240234,8520.209961,8536.219727,1795700,8536.213112
2016-06-08,8704.660156,8754.820312,8690.589844,8715.480469,1745300,8715.466962
2016-06-07,8622.209961,8692.730469,8621.459961,8679.900391,1653300,8679.886939
2016-06-06,8605.150391,8664.120117,8557.679688,8597.110352,1253900,8597.097028
2016-06-03,8565.179688,8601.049805,8559.769531,8587.360352,1446300,8587.341925
2016-06-02,8598.469727,8635.030273,8553.540039,8556.019531,1713200,8556.001172
2016-06-01,8516.080078,8603.629883,8514.120117,8597.160156,1713400,8597.141709
2016-05-31,8532.209961,8545.730469,8488.900391,8535.589844,2368300,8535.571528
2016-05-30,8476.620117,8563.400391,8462.150391,8535.870117,1612400,8535.851801
2016-05-27,8415.589844,8463.610352,8415.589844,8463.610352,1546200,8463.592191
2016-05-26,8400.889648,8410.740234,8376.599609,8394.120117,1328900,8394.102105
2016-05-25,8352.839844,8417.269531,8352.839844,8396.200195,1675500,8396.182179
2016-05-24,8329.69043,8354.620117,8298.00,8300.660156,1382700,8300.642345
2016-05-23,8150.379883,8356.959961,8119.709961,8344.44043,1882300,8344.422524
2016-05-20,8108.680176,8165.97998,8080.649902,8131.259766,1228000,8131.242318
2016-05-19,8159.930176,8166.959961,8067.330078,8095.97998,1377200,8095.962608
2016-05-18,8115.609863,8159.680176,8061.259766,8159.680176,1482200,8159.662667
2016-05-17,8081.890137,8151.200195,8047.310059,8140.47998,1500000,8140.462513
2016-05-16,8035.209961,8091.47998,8003.930176,8067.600098,1449600,8067.582786
2016-05-13,8095.930176,8095.930176,7999.97998,8053.689941,2020700,8053.67266
2016-05-12,8122.779785,8162.439941,8105.490234,8108.049805,1359700,8108.032407
2016-05-11,8182.919922,8204.509766,8115.439941,8135.560059,1584800,8135.542602
2016-05-10,8119.709961,8168.129883,8075.580078,8156.290039,1320800,8156.272538
2016-05-09,8156.649902,8177.359863,8106.129883,8131.830078,1365700,8131.812629
2016-05-06,8169.540039,8170.680176,8104.160156,8146.430176,1678500,8146.412695
2016-05-05,8182.049805,8207.980469,8122.339844,8167.959961,1609100,8167.942434
2016-05-04,8282.519531,8285.959961,8153.569824,8185.470215,1801400,8185.452651
2016-05-03,8362.349609,8363.589844,8268.410156,8294.120117,1644000,8294.10232
2016-04-29,8424.040039,8424.040039,8352.230469,8377.900391,1575700,8377.882414
2016-04-28,8586.919922,8595.990234,8456.379883,8473.870117,1614700,8473.851934
2016-04-27,8561.370117,8597.639648,8537.030273,8563.049805,1429000,8563.03143
2016-04-26,8556.370117,8622.419922,8554.549805,8581.570312,1291300,8581.551898
2016-04-25,8541.139648,8560.280273,8513.730469,8560.280273,1113800,8560.261905
2016-04-22,8560.209961,8580.330078,8501.030273,8535.75,1593200,8535.731684
2016-04-21,8549.139648,8568.650391,8508.919922,8568.650391,1397500,8568.632004
2016-04-20,8649.089844,8695.219727,8502.549805,8514.480469,1800900,8514.462199
2016-04-19,8701.75,8743.349609,8627.290039,8633.719727,1525800,8633.701201
2016-04-18,8681.799805,8686.980469,8650.129883,8666.009766,1311400,8665.99117
2016-04-15,8634.230469,8700.389648,8613.25,8700.389648,1565500,8700.370979
2016-04-14,8684.929688,8719.150391,8653.839844,8667.709961,1742000,8667.691362
2016-04-13,8562.790039,8653.080078,8561.900391,8652.080078,1698200,8652.061513
2016-04-12,8561.209961,8613.55957,8520.139648,8531.179688,1695400,8531.161382
2016-04-11,8518.959961,8568.44043,8476.570312,8562.589844,1435100,8562.57147
2016-04-08,8464.780273,8546.30957,8452.049805,8541.50,1796500,8541.481672
2016-04-07,8523.25,8529.44043,8436.540039,8490.25,1783400,8490.231782
2016-04-06,8605.160156,8605.160156,8496.889648,8513.299805,2018500,8513.281537
2016-04-01,8700.379883,8704.530273,8628.94043,8657.549805,1542800,8657.531228
2016-03-31,8757.219727,8803.910156,8695.080078,8744.830078,2006100,8744.811314
2016-03-30,8624.929688,8744.469727,8624.929688,8737.040039,1920800,8737.021291
2016-03-29,8687.05957,8711.110352,8585.709961,8617.349609,1903600,8617.331119
2016-03-28,8713.719727,8737.860352,8676.030273,8690.450195,1609600,8690.431548
2016-03-25,8758.139648,8765.620117,8699.889648,8704.969727,1484000,8704.951048
2016-03-24,8745.419922,8765.959961,8676.870117,8743.379883,1753200,8743.361122
2016-03-23,8777.879883,8814.50,8734.549805,8766.089844,1743000,8766.071034
2016-03-22,8806.019531,8814.370117,8713.240234,8785.679688,1884200,8785.660835
2016-03-21,8826.160156,8840.75,8747.589844,8812.700195,1740400,8812.681285
2016-03-18,8747.049805,8810.709961,8747.049805,8810.709961,2473700,8810.691055
2016-03-17,8763.509766,8826.839844,8716.879883,8734.540039,2375000,8734.521297
2016-03-16,8637.629883,8699.139648,8637.629883,8699.139648,1985300,8699.120982
2016-03-15,8745.570312,8759.94043,8589.410156,8611.179688,2606100,8611.16121
2016-03-14,8746.480469,8777.049805,8739.570312,8747.900391,2236200,8747.88162
2016-03-11,8663.290039,8707.969727,8640.959961,8706.139648,2073100,8706.120967
2016-03-10,8633.660156,8680.429688,8614.969727,8660.700195,2165700,8660.681611
2016-03-09,8649.099609,8657.169922,8588.410156,8634.110352,2198200,8634.091825
2016-03-08,8655.860352,8668.509766,8575.700195,8664.30957,2643600,8664.290979
2016-03-07,8656.740234,8727.879883,8632.209961,8659.549805,2424900,8659.531223
2016-03-04,8611.370117,8648.94043,8584.05957,8643.549805,2396100,8643.531258
2016-03-03,8569.049805,8630.769531,8561.740234,8611.790039,2574500,8611.77156
2016-03-02,8544.660156,8586.25,8540.169922,8544.049805,2308200,8544.031471
2016-03-01,8381.379883,8489.009766,8378.05957,8485.69043,1945500,8485.672221
2016-02-26,8380.530273,8432.740234,8347.799805,8411.160156,1967500,8411.142108
2016-02-25,8304.179688,8388.629883,8304.179688,8365.860352,2028600,8365.8424
2016-02-24,8332.660156,8382.25,8264.389648,8282.860352,1825000,8282.842578
2016-02-23,8333.589844,8361.790039,8311.94043,8334.639648,1849900,8334.621764
2016-02-22,8315.790039,8396.620117,8296.179688,8326.679688,1697400,8326.66182
2016-02-19,8291.830078,8325.040039,8280.389648,8325.040039,1715700,8325.022175
2016-02-18,8261.740234,8337.969727,8261.740234,8314.669922,2044500,8314.652081
2016-02-17,8240.730469,8253.799805,8196.129883,8214.25,1847300,8214.232374
2016-02-16,8090.910156,8227.19043,8090.910156,8212.070312,2009100,8212.052691
2016-02-15,7976.649902,8074.799805,7953.990234,8066.509766,1935700,8066.492457
2016-02-03,8117.220215,8117.220215,8036.600098,8063.00,1781300,8062.973567
2016-02-02,8141.52002,8156.25,8091.140137,8131.240234,1768200,8131.21067
2016-02-01,8164.240234,8166.799805,8110.870117,8156.959961,1818300,8156.930303
2016-01-29,7880.779785,8080.600098,7876.819824,8080.600098,2552200,8080.570718
2016-01-28,7825.220215,7921.060059,7821.120117,7905.100098,1830200,7905.071356
2016-01-27,7863.660156,7888.629883,7830.330078,7849.830078,1478800,7849.801537
2016-01-26,7832.100098,7848.629883,7799.580078,7828.669922,1524700,7828.641458
2016-01-25,7813.72998,7899.660156,7813.72998,7894.149902,1623500,7894.1212
2016-01-22,7729.009766,7774.120117,7706.140137,7756.180176,1637300,7756.151975
2016-01-21,7713.169922,7748.370117,7664.009766,7664.009766,1763600,7663.9819
2016-01-20,7835.169922,7835.169922,7687.600098,7699.120117,2046500,7699.092124
2016-01-19,7816.450195,7854.879883,7786.77002,7854.879883,1581200,7854.851323
2016-01-18,7678.669922,7834.25,7627.890137,7811.180176,1942500,7811.151775
2016-01-15,7809.00,7842.339844,7708.660156,7762.009766,1991800,7761.981544
2016-01-14,7752.089844,7752.089844,7662.339844,7742.879883,1809100,7742.851731
2016-01-13,7799.560059,7865.97998,7786.330078,7824.609863,1698800,7824.581414
2016-01-12,7807.930176,7851.810059,7732.109863,7768.450195,2027700,7768.42195
2016-01-11,7855.799805,7855.799805,7726.220215,7788.419922,1949300,7788.391604
2016-01-08,7811.200195,7906.549805,7788.709961,7893.970215,1875700,7893.941513
2016-01-07,7963.240234,7980.50,7770.160156,7852.060059,2544700,7852.031509
2016-01-06,8064.25,8076.540039,7948.430176,7990.390137,2040600,7990.361085
2016-01-05,8105.00,8142.640137,8055.959961,8075.109863,1710600,8075.080503
2016-01-04,8315.790039,8326.330078,8109.089844,8114.259766,1717400,8114.230263
2015-12-31,8273.769531,8338.05957,8258.730469,8338.05957,1191500,8338.029254
2015-12-30,8313.370117,8342.339844,8262.519531,8279.990234,1300600,8279.960129
2015-12-29,8349.269531,8351.160156,8286.839844,8293.910156,1186200,8293.880001
2015-12-28,8374.179688,8394.599609,8358.490234,8358.490234,1219000,8358.459844
2015-12-25,8328.94043,8364.299805,8320.099609,8363.280273,1236500,8363.249866
2015-12-24,8351.200195,8393.410156,8324.360352,8324.360352,1710600,8324.330085
2015-12-23,8296.580078,8359.25,8296.580078,8315.700195,1938800,8315.66996
2015-12-22,8283.030273,8316.44043,8261.719727,8292.740234,1832100,8292.710083
2015-12-21,8228.049805,8289.589844,8191.529785,8282.169922,2161800,8282.139809
2015-12-18,8272.410156,8317.480469,8241.320312,8257.320312,1959000,8257.29029
2015-12-17,8214.620117,8319.669922,8214.620117,8319.669922,2194700,8319.639673
2015-12-16,8144.029785,8204.200195,8121.060059,8184.660156,1987800,8184.630398
2015-12-15,8074.47998,8140.060059,8073.350098,8073.350098,1674400,8073.320744
2015-12-14,8058.669922,8068.97998,7980.589844,8040.160156,1808300,8040.130923
2015-12-11,8217.330078,8253.110352,8108.680176,8115.890137,2056200,8115.860628
2015-12-10,8214.269531,8228.429688,8133.419922,8216.169922,2110400,8216.140049
2015-12-09,8329.860352,8343.370117,8229.620117,8229.620117,2149800,8229.590195
2015-12-08,8442.05957,8453.629883,8335.669922,8343.860352,2054400,8343.830014
2015-12-07,8432.469727,8535.360352,8432.469727,8454.269531,1799000,8454.238793
2015-12-04,8423.700195,8423.700195,8355.75,8398.599609,1789400,8398.569073
2015-12-03,8424.540039,8484.519531,8393.290039,8456.05957,1826900,8456.028825
2015-12-02,8475.959961,8497.19043,8441.280273,8457.400391,1939900,8457.369641
2015-12-01,8359.269531,8463.299805,8339.50,8463.299805,1974700,8463.269033
2015-11-30,8339.830078,8339.830078,8239.00,8320.610352,3289700,8320.580099
2015-11-27,8493.179688,8505.080078,8397.490234,8398.400391,1419800,8398.369855
2015-11-26,8411.160156,8510.700195,8411.160156,8484.900391,1659700,8484.869541
2015-11-25,8407.540039,8426.620117,8352.169922,8386.129883,1693600,8386.099392
2015-11-24,8472.240234,8497.830078,8397.44043,8400.139648,1630600,8400.109107
2015-11-23,8480.589844,8503.080078,8450.009766,8485.730469,1530200,8485.699616
2015-11-20,8472.650391,8484.05957,8434.330078,8465.450195,1579100,8465.419416
2015-11-19,8382.089844,8477.200195,8357.200195,8477.200195,1792800,8477.169373
2015-11-18,8432.25,8455.139648,8326.719727,8340.469727,1761600,8340.439402
2015-11-17,8369.139648,8471.889648,8369.139648,8419.419922,1799600,8419.38931
2015-11-16,8278.120117,8312.05957,8217.339844,8295.400391,1820000,8295.37023
2015-11-13,8402.110352,8453.040039,8329.50,8329.50,1693800,8329.469715
2015-11-12,8426.759766,8467.30957,8374.070312,8428.089844,1541900,8428.0592
2015-11-11,8543.629883,8557.69043,8415.009766,8415.009766,1930600,8414.97917
2015-11-10,8614.549805,8614.549805,8529.540039,8536.900391,1703500,8536.869351
2015-11-09,8702.669922,8746.280273,8623.700195,8642.480469,1754100,8642.449046
2015-11-06,8857.610352,8857.610352,8671.889648,8693.570312,2240500,8693.538704
2015-11-05,8858.730469,8871.870117,8828.040039,8850.179688,1999200,8850.147509
2015-11-04,8759.94043,8864.169922,8754.179688,8857.019531,2620400,8856.987328
2015-11-03,8643.209961,8728.05957,8643.209961,8713.19043,2018200,8713.15875
2015-11-02,8571.530273,8614.769531,8524.009766,8614.769531,1570900,8614.738209
2015-10-30,8578.25,8586.900391,8503.69043,8554.30957,1963300,8554.278468
2015-10-29,8682.580078,8704.589844,8568.129883,8571.080078,1985000,8571.048915
2015-10-28,8679.240234,8714.009766,8632.379883,8665.990234,1784700,8665.958726
2015-10-27,8724.00,8733.530273,8662.769531,8701.320312,1841000,8701.288676
2015-10-26,8706.80957,8757.139648,8706.80957,8745.360352,1778100,8745.328554
2015-10-23,8671.519531,8740.080078,8662.030273,8673.80957,1974500,8673.778033
2015-10-22,8600.400391,8631.169922,8594.209961,8608.459961,1675200,8608.428662
2015-10-21,8668.080078,8690.389648,8591.419922,8609.230469,2022800,8609.199167
2015-10-20,8651.080078,8663.120117,8618.480469,8653.599609,1994500,8653.568146
2015-10-19,8628.790039,8670.320312,8603.080078,8631.50,1765400,8631.468617
